,target
20,0
140,2
33,0
161,2
138,2
150,2
59,1
3,0
177,2
109,1
160,2
77,1
35,0
31,0
68,1
146,2
111,1
55,0
116,1
148,2
82,1
95,1
36,0
9,0
100,1
4,0
58,0
21,0
5,0
168,2
103,1
85,1
147,2
174,2
127,1
153,2
143,2
154,2
1,0
23,0
15,0
164,2
102,1
144,2
17,0
48,0
75,1
112,1
136,2
12,0
90,1
105,1
43,0
81,1
114,1
19,0
37,0
65,1
113,1
63,1
53,0
132,2
41,0
70,1
78,1
66,1
56,0
125,1
88,1
165,2
30,0
163,2
10,0
61,1
141,2
25,0
115,1
134,2
44,0
117,1
27,0
133,2
166,2
101,1
73,1
135,2
39,0
176,2
47,0
98,1
45,0
64,1
89,1
169,2
167,2
57,0
159,2
13,0
7,0
129,1
72,1
6,0
142,2
67,1
40,0
130,2
